institution_id,institution_name,total_courses,total_reviews,average_rating
314,"University of California, Irvine, Tecnológico de Monterrey",3,10056,4.7
315,"University of California, Santa Cruz",81,116574,4.5
316,University of Cape Town,54,30615,4.8
317,"University of Cape Town, National Oceanic and Atmospheric Administration (NOAA), IW:LEARN, Global Environment Facility (GEF), United Nations Development Programme (UNDP-The GEF), UNESCO-IOC, United Nations Environment Programme",3,858,4.8
318,"University of Cape Town, Oxfam",3,426,4.9
319,University of Colorado Boulder,1224,557088,4.7
320,"University of Colorado Boulder, University of California San Diego",6,6930,4.7
321,"University of Colorado Boulder, University of Colorado System",27,23322,4.8
322,University of Colorado System,399,253944,4.7
323,"University of Colorado System, University of Colorado Boulder",12,19908,4.8
324,University of Copenhagen,66,91317,4.8
325,"University of Copenhagen, Copenhagen Business School",3,666,4.5
326,"University of Copenhagen, Danish Red Cross, Reference Centre for Psychosocial Support",3,93,4.7
327,"University of Copenhagen, Technical University of Denmark (DTU)",3,1887,4.7
328,"University of Copenhagen, Universidad Politécnica de Madrid, University of Coimbra, EIT Health",3,420,4.8
329,"University of Copenhagen, University of Groningen, University of Oslo, EIT Health",3,0,
330,"University of Copenhagen, University of Iceland",6,234,4.6
331,"University of Copenhagen, University of Warsaw, University of Milan, Sorbonne University, Charles University, 4EU+ Alliance",3,177,4.7
332,"University of Copenhagen, University of Warsaw, University of Milan, University of Heidelberg, Sorbonne University, Charles University, 4EU+ Alliance",6,216,4.8
333,University of Florida,72,26547,4.7
334,University of Geneva,243,146901,4.8
335,"University of Geneva, University of Lausanne",3,1164,4.5
336,"University of Geneva, Université de Montréal, Université libre de Bruxelles",3,228,4.8
337,University of Glasgow ,45,3669,4.7
338,University of Houston,39,5913,4.6
339,University of Illinois at Urbana-Champaign,600,608784,4.7
340,University of Kentucky,6,10281,4.7
341,University of Lausanne,27,5178,4.7
342,University of Leeds,63,7734,4.7
343,University of London,90,56808,4.7
344,"University of London, Birkbeck, University of London",6,21816,4.7
345,"University of London, Bloomsbury Learning Exchange",6,8748,4.8
346,"University of London, Goldsmiths, University of London",57,50499,4.5
347,"University of London, London Business School",15,54177,4.9
348,"University of London, Royal Holloway, University of London",18,2223,4.6
349,"University of London, SOAS University of London",24,83604,4.6
350,"University of London, UCL Institute of Education",6,3810,4.7
351,"University of London, UCL School of Management",3,6015,4.8
352,University of Manchester   ,39,47859,4.7
353,"University of Maryland, College Park",87,52701,4.6
354,University of Michigan,882,7192923,4.8
355,"University of Michigan, University of Maryland, College Park",9,7596,4.3
356,University of Minnesota,273,336258,4.7
357,University of Nebraska,3,279,4.7
358,University of New Mexico,21,9585,4.7
359,University of North Texas,21,3159,4.6
360,University of Pennsylvania,669,1555593,4.7
361,"University of Pennsylvania, National Arts Strategies",3,597,4.7
362,"University of Pennsylvania, Unicef",6,7263,4.6
363,University of Pittsburgh,15,17331,4.7
364,University of Rochester,45,17613,4.7
365,University of Science and Technology of China,15,609,4.4
366,University of Toronto,210,394272,4.8
367,University of Virginia,201,424173,4.7
368,"University of Virginia Darden School Foundation, IBM",3,996,4.8
369,"University of Virginia, BCG",21,34686,4.8
370,"University of Virginia, UVA Lifetime Learning, Patrick Henry Memorial Foundation",3,513,4.9
371,University of Washington,132,277422,4.7
372,University of Western Australia,24,3990,4.7
373,University of Zurich,21,7731,4.8
374,Università Bocconi,54,155814,4.8
375,Università di Napoli Federico II,57,390,4.3
376,Utrecht University,30,4029,4.7
377,VMware,3,1326,4.7
378,Vanderbilt University,108,244842,4.8
379,Voxy,6,573,4.6
380,Wesleyan University,105,142890,4.7
381,West Virginia University,18,20754,4.7
382,Whizlabs,75,174,3.6
383,Workday,3,0,
384,Yad Vashem ,24,408,4.7
385,Yale University,303,1269687,4.9
386,Yeshiva University,3,357,4.5
387,Yonsei University,72,57135,4.6
388,Yunus Social Business Fund Bengaluru,9,18,4.7
389,École Polytechnique,108,28812,4.6
390,École Polytechnique Fédérale de Lausanne,204,167613,4.7
391,"École Polytechnique, HEC Paris",12,3870,4.6
392,"École Polytechnique, Institut Mines-Télécom",9,123,4.5
393,École des Ponts ParisTech,9,7617,4.6
394,"École des Ponts ParisTech, BCG",3,2334,4.8
395,École normale supérieure,24,2571,4.8
